"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.NetAppFiles","Approve-AzNetAppFilesReplication","1","1","Invalid_Cmdlet","5000","1","Approve-AzNetAppFilesReplication is not a valid command name.","Approve-AzNetAppFilesReplication -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -DataProtectionVolumeId 'MyDestinationVolumeId'","Check the spell of Approve-AzNetAppFilesReplication."
"Az.NetAppFiles","Get-AzNetAppFilesAccount","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesAccount is not a valid command name.","Get-AzNetAppFilesAccount -ResourceGroupName 'MyRG' -Name 'MyAnfAccount'","Check the spell of Get-AzNetAppFilesAccount."
"Az.NetAppFiles","Get-AzNetAppFilesActiveDirectory","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesActiveDirectory is not a valid command name.","Get-AzNetAppFilesActiveDirectory -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -ActiveDirectoryId 'MyADConfigName'","Check the spell of Get-AzNetAppFilesActiveDirectory."
"Az.NetAppFiles","Get-AzNetAppFilesBackup","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesBackup is not a valid command name.","Get-AzNetAppFilesBackup -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -PoolName 'MyPool' -VolumeName 'MyVolume' -Name 'MyBackup'","Check the spell of Get-AzNetAppFilesBackup."
"Az.NetAppFiles","Get-AzNetAppFilesBackup","2","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesBackup is not a valid command name.","Get-AzNetAppFilesBackup -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -AccountBackupName 'MyBackup'","Check the spell of Get-AzNetAppFilesBackup."
"Az.NetAppFiles","Get-AzNetAppFilesBackupPolicy","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesBackupPolicy is not a valid command name.","Get-AzNetAppFilesBackupPolicy -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MyBackupPolicy'","Check the spell of Get-AzNetAppFilesBackupPolicy."
"Az.NetAppFiles","Get-AzNetAppFilesBackupVault","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesBackupVault is not a valid command name.","Get-AzNetAppFilesBackupVault -ResourceGroupName 'MyRG' -AccountName MyAnfAccount -Name MyBackupVaultName","Check the spell of Get-AzNetAppFilesBackupVault."
"Az.NetAppFiles","Get-AzNetAppFilesFilePathAvailability","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesFilePathAvailability is not a valid command name.","Get-AzNetAppFilesFilePathAvailability -Location westus2 -Name filename -SubnetId $subnetId","Check the spell of Get-AzNetAppFilesFilePathAvailability."
"Az.NetAppFiles","Get-AzNetAppFilesNameAvailability","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesNameAvailability is not a valid command name.","Get-AzNetAppFilesNameAvailability -ResourceGroupName 'MyRg' -Location westus2 -Type 'Microsoft.NetApp/netAppAccounts'  -Name 'AccountName'","Check the spell of Get-AzNetAppFilesNameAvailability."
"Az.NetAppFiles","Get-AzNetAppFilesNetworkSiblingSet","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolume is not a valid command name.","Get-AzNetAppFilesVolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyAnfVolume'","Check the spell of Get-AzNetAppFilesVolume."
"Az.NetAppFiles","Get-AzNetAppFilesNetworkSiblingSet","1","2","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesNetworkSiblingSet is not a valid command name.","Get-AzNetAppFilesNetworkSiblingSet -Location 'westus' -NetworkSiblingSetId '$retrievedVolume.NetworkSiblingSetId' -SubnetId 'mysubnet'","Check the spell of Get-AzNetAppFilesNetworkSiblingSet."
"Az.NetAppFiles","Get-AzNetAppFilesPool","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesPool is not a valid command name.","Get-AzNetAppFilesPool -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MyAnfPool'","Check the spell of Get-AzNetAppFilesPool."
"Az.NetAppFiles","Get-AzNetAppFilesQuotaAvailability","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesQuotaAvailability is not a valid command name.","Get-AzNetAppFilesQuotaAvailability -ResourceGroupName 'MyRG' -Location 'westus' -Type 'Microsoft.NetApp/netAppAccounts' -Name 'quotaName'","Check the spell of Get-AzNetAppFilesQuotaAvailability."
"Az.NetAppFiles","Get-AzNetAppFilesQuotaLimit","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesQuotaLimit is not a valid command name.","Get-AzNetAppFilesQuotaLimit -Location 'westus2'  -Name totalTiBsPerSubscription","Check the spell of Get-AzNetAppFilesQuotaLimit."
"Az.NetAppFiles","Get-AzNetAppFilesRegionInfo","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesRegionInfo is not a valid command name.","Get-AzNetAppFilesRegionInfo -Location eastus","Check the spell of Get-AzNetAppFilesRegionInfo."
"Az.NetAppFiles","Get-AzNetAppFilesReplicationStatus","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesReplicationStatus is not a valid command name.","Get-AzNetAppFilesReplicationStatus -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyVol'","Check the spell of Get-AzNetAppFilesReplicationStatus."
"Az.NetAppFiles","Get-AzNetAppFilesSnapshot","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesSnapshot is not a valid command name.","Get-AzNetAppFilesSnapshot -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MyAnfSnapshot'","Check the spell of Get-AzNetAppFilesSnapshot."
"Az.NetAppFiles","Get-AzNetAppFilesSnapshotPolicy","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesSnapshotPolicy is not a valid command name.","Get-AzNetAppFilesSnapshotPolicy -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MySnapshotPolicy'","Check the spell of Get-AzNetAppFilesSnapshotPolicy."
"Az.NetAppFiles","Get-AzNetAppFilesSnapshotPolicyVolumeList","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesSnapshotPolicyVolumeList is not a valid command name.","Get-AzNetAppFilesSnapshotPolicyVolumeList -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MySnapshotPolicy'","Check the spell of Get-AzNetAppFilesSnapshotPolicyVolumeList."
"Az.NetAppFiles","Get-AzNetAppFilesSubvolume","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesSubvolume is not a valid command name.","Get-AzNetAppFilesSubvolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MyAnfSubvolume'","Check the spell of Get-AzNetAppFilesSubvolume."
"Az.NetAppFiles","Get-AzNetAppFilesSubvolumeMetadata","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesSubvolumeMetadata is not a valid command name.","Get-AzNetAppFilesSubvolumeMetadata -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MyAnfSubvolume'","Check the spell of Get-AzNetAppFilesSubvolumeMetadata."
"Az.NetAppFiles","Get-AzNetAppFilesVolume","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolume is not a valid command name.","Get-AzNetAppFilesVolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyAnfVolume'","Check the spell of Get-AzNetAppFilesVolume."
"Az.NetAppFiles","Get-AzNetAppFilesVolumeBackupStatus","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolumeBackupStatus is not a valid command name.","Get-AzNetAppFilesVolumeBackupStatus -ResourceGroupName MyGroup -AccountName MyAccount -PoolName MyPool -Name MyVolume","Check the spell of Get-AzNetAppFilesVolumeBackupStatus."
"Az.NetAppFiles","Get-AzNetAppFilesVolumeGroup","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolumeGroup is not a valid command name.","Get-AzNetAppFilesVolumeGroup -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MyAnfVolumeGroup'","Check the spell of Get-AzNetAppFilesVolumeGroup."
"Az.NetAppFiles","Get-AzNetAppFilesVolumeGroupIdListForLDAPUser","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolumeGroupIdListForLDAPUser is not a valid command name.","Get-AzNetAppFilesVolumeGroupIdListForLDAPUser -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -PoolName 'MyPool' -VolumeName 'MyVolume' -Username 'UserName'","Check the spell of Get-AzNetAppFilesVolumeGroupIdListForLDAPUser."
"Az.NetAppFiles","Get-AzNetAppFilesVolumeQuotaRule","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolumeQuotaRule is not a valid command name.","Get-AzNetAppFilesVolumeQuotaRule -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -VolumeName 'MyAnfVolume' -Name 'MyVolumeQuotaRuleName'","Check the spell of Get-AzNetAppFilesVolumeQuotaRule."
"Az.NetAppFiles","Get-AzNetAppFilesVolumeReplication","1","1","Invalid_Cmdlet","5000","1","Get-AzNetAppFilesVolumeReplication is not a valid command name.","Get-AzNetAppFilesVolumeReplication -ResourceGroupName MyGroup -AccountName MyAccount -PoolName MyPool -Name MyVolume","Check the spell of Get-AzNetAppFilesVolumeReplication."
